timestamp,num_vertices,num_edges,edge_density,exhaustive_time,exhaustive_operations,exhaustive_solutions_explored,exhaustive_solution_size,exhaustive_timed_out,greedy_time,greedy_operations,greedy_solution_size,is_optimal,quality_ratio,size_difference,speedup,operation_reduction
2025-10-25T22:50:37.613589,4,3,25.0,1.9788742065429688e-05,27,8,2,False,5.7220458984375e-06,30,3,False,0.6666666666666666,1,3.4583333333333335,-0.11111111111111116
2025-10-25T22:50:37.613680,4,4,75.0,1.4066696166992188e-05,50,10,2,False,3.0994415283203125e-06,29,2,True,1.0,0,4.538461538461538,0.42000000000000004
2025-10-25T22:50:37.613747,5,4,25.0,1.6927719116210938e-05,51,15,3,False,3.337860107421875e-06,38,3,True,1.0,0,5.071428571428571,0.2549019607843137
2025-10-25T22:50:37.613811,5,7,75.0,5.0067901611328125e-05,240,35,3,False,3.814697265625e-06,59,3,True,1.0,0,13.125,0.7541666666666667
2025-10-25T22:50:37.613910,6,4,25.0,1.71661376953125e-05,51,16,3,False,3.5762786865234375e-06,48,4,False,0.75,1,4.8,0.05882352941176472
2025-10-25T22:50:37.613976,6,11,75.0,0.0002522468566894531,962,87,3,False,5.7220458984375e-06,88,3,True,1.0,0,44.083333333333336,0.9085239085239085
2025-10-25T22:50:37.614282,7,5,25.0,3.147125244140625e-05,99,28,4,False,4.0531158447265625e-06,61,4,True,1.0,0,7.764705882352941,0.38383838383838387
2025-10-25T22:50:37.614371,7,15,75.0,0.0010669231414794922,6044,588,4,False,7.62939453125e-06,144,4,True,1.0,0,139.84375,0.9761747187293184
2025-10-25T22:50:37.615496,8,7,25.0,8.96453857421875e-05,334,71,4,False,5.245208740234375e-06,83,4,True,1.0,0,17.09090909090909,0.7514970059880239
2025-10-25T22:50:37.615654,8,21,75.0,,,,,True,9.5367431640625e-06,206,4,,,,,
